aId:ID(Amenity),:LABEL,name,_start,_end,_type,rating,url,picture_url,host_identity_verified,accomodates,bedrooms,bathrooms,beds,price,review_scores_rating
0,:Amenities,Refrigerator,,,,,,,,,,,,,
1,:Amenities,Paid parking off premises,,,,,,,,,,,,,
2,:Amenities,Long term stays allowed,,,,,,,,,,,,,
3,:Amenities,Paid washer – In unit,,,,,,,,,,,,,
4,:Amenities,Lock on bedroom door,,,,,,,,,,,,,
5,:Amenities,Heating,,,,,,,,,,,,,
6,:Amenities,Drying rack for clothing,,,,,,,,,,,,,
7,:Amenities,Hair dryer,,,,,,,,,,,,,
8,:Amenities,Body soap,,,,,,,,,,,,,
9,:Amenities,Room-darkening shades,,,,,,,,,,,,,
10,:Amenities,Mini fridge,,,,,,,,,,,,,
11,:Amenities,Shampoo,,,,,,,,,,,,,
12,:Amenities,First aid kit,,,,,,,,,,,,,
13,:Amenities,Clothing storage: wardrobe,,,,,,,,,,,,,
14,:Amenities,Hot water,,,,,,,,,,,,,
15,:Amenities,Laundromat nearby,,,,,,,,,,,,,
16,:Amenities,Mosquito net,,,,,,,,,,,,,
17,:Amenities,Portable fans,,,,,,,,,,,,,
18,:Amenities,Hangers,,,,,,,,,,,,,
19,:Amenities,Fire extinguisher,,,,,,,,,,,,,
20,:Amenities,Extra pillows and blankets,,,,,,,,,,,,,
21,:Amenities,Bed linens,,,,,,,,,,,,,
22,:Amenities,Fast wifi – 52 Mbps,,,,,,,,,,,,,
23,:Amenities,Coffee maker,,,,,,,,,,,,,
24,:Amenities,Carbon monoxide alarm,,,,,,,,,,,,,
25,:Amenities,Outdoor furniture,,,,,,,,,,,,,
26,:Amenities,Host greets you,,,,,,,,,,,,,
27,:Amenities,Shared fenced garden or backyard,,,,,,,,,,,,,
28,:Amenities,Shower gel,,,,,,,,,,,,,
29,:Amenities,Single level home,,,,,,,,,,,,,
30,:Amenities,Smoke alarm,,,,,,,,,,,,,
31,:Amenities,Iron,,,,,,,,,,,,,
32,:Amenities,Private entrance,,,,,,,,,,,,,
33,:Amenities,Essentials,,,,,,,,,,,,,
34,:Amenities,Paid parking on premises,,,,,,,,,,,,,
35,:Amenities,Cleaning products,,,,,,,,,,,,,
36,:Amenities,Hot water kettle,,,,,,,,,,,,,
37,:Amenities,Security cameras on property,,,,,,,,,,,,,
38,:Amenities,Pour-over coffee,,,,,,,,,,,,,
39,:Amenities,Dedicated workspace: table,,,,,,,,,,,,,
40,:Amenities,Ethernet connection,,,,,,,,,,,,,
41,:Amenities,TV,,,,,,,,,,,,,
42,:Amenities,Wifi,,,,,,,,,,,,,
43,:Amenities,Free street parking,,,,,,,,,,,,,
44,:Amenities,Dedicated workspace,,,,,,,,,,,,,
45,:Amenities,Smart lock,,,,,,,,,,,,,
46,:Amenities,Dishes and silverware,,,,,,,,,,,,,
47,:Amenities,Lake access,,,,,,,,,,,,,
48,:Amenities,Outdoor dining area,,,,,,,,,,,,,
49,:Amenities,Waterfront,,,,,,,,,,,,,
50,:Amenities,Luggage dropoff allowed,,,,,,,,,,,,,
51,:Amenities,Private patio or balcony,,,,,,,,,,,,,
52,:Amenities,Breakfast,,,,,,,,,,,,,
53,:Amenities,Dryer,,,,,,,,,,,,,
54,:Amenities,Air conditioning,,,,,,,,,,,,,
55,:Amenities,Dishwasher,,,,,,,,,,,,,
56,:Amenities,Oven,,,,,,,,,,,,,
57,:Amenities,Kitchen,,,,,,,,,,,,,
58,:Amenities,Cable TV,,,,,,,,,,,,,
59,:Amenities,Cooking basics,,,,,,,,,,,,,
60,:Amenities,TV with standard cable,,,,,,,,,,,,,
61,:Amenities,Microwave,,,,,,,,,,,,,
62,:Amenities,Washer,,,,,,,,,,,,,
63,:Amenities,Stove,,,,,,,,,,,,,
64,:Amenities,Patio or balcony,,,,,,,,,,,,,
65,:Amenities,Sound system,,,,,,,,,,,,,
66,:Amenities,Piano,,,,,,,,,,,,,
67,:Amenities,Cleaning before checkout,,,,,,,,,,,,,
68,:Amenities,Wine glasses,,,,,,,,,,,,,
69,:Amenities,Paid street parking off premises,,,,,,,,,,,,,
70,:Amenities,Pack ’n play/Travel crib,,,,,,,,,,,,,
71,:Amenities,Clothing storage: closet,,,,,,,,,,,,,
72,:Amenities,Freezer,,,,,,,,,,,,,
73,:Amenities,Conditioner,,,,,,,,,,,,,
74,:Amenities,Dining table,,,,,,,,,,,,,
75,:Amenities,Toaster,,,,,,,,,,,,,
76,:Amenities,Marie Stella Maris shampoo,,,,,,,,,,,,,
77,:Amenities,Marie Stella Maris conditioner,,,,,,,,,,,,,
78,:Amenities,Clothing storage: closet and wardrobe,,,,,,,,,,,,,
79,:Amenities,Bathtub,,,,,,,,,,,,,
80,:Amenities,Nespresso machine,,,,,,,,,,,,,
81,:Amenities,Board games,,,,,,,,,,,,,
82,:Amenities,Bikes,,,,,,,,,,,,,
83,:Amenities,Children’s dinnerware,,,,,,,,,,,,,
84,:Amenities,High chair,,,,,,,,,,,,,
85,:Amenities,Children’s books and toys,,,,,,,,,,,,,
86,:Amenities,Central heating,,,,,,,,,,,,,
87,:Amenities,Marie Stella Maris body soap,,,,,,,,,,,,,
88,:Amenities,Crib,,,,,,,,,,,,,
89,:Amenities,TV with Chromecast,,,,,,,,,,,,,
90,:Amenities,Babysitter recommendations,,,,,,,,,,,,,
91,:Amenities,JBL Bluetooth sound system,,,,,,,,,,,,,
92,:Amenities,Fast wifi – 73 Mbps,,,,,,,,,,,,,
93,:Amenities,Elevator,,,,,,,,,,,,,
94,:Amenities,Clothing storage: dresser,,,,,,,,,,,,,
95,:Amenities,EV charger,,,,,,,,,,,,,
96,:Amenities,Lockbox,,,,,,,,,,,,,
97,:Amenities,Pocket wifi,,,,,,,,,,,,,
98,:Amenities,minifridge available on request refrigerator,,,,,,,,,,,,,
99,:Amenities,Backyard,,,,,,,,,,,,,
100,:Amenities,BBQ grill,,,,,,,,,,,,,
101,:Amenities,Central air conditioning,,,,,,,,,,,,,
102,:Amenities,Rice maker,,,,,,,,,,,,,
103,:Amenities,Private fenced garden or backyard,,,,,,,,,,,,,
104,:Amenities,Miele oven,,,,,,,,,,,,,
105,:Amenities,Barbecue utensils,,,,,,,,,,,,,
106,:Amenities,Hot tub,,,,,,,,,,,,,
107,:Amenities,Clothing storage: dresser and closet,,,,,,,,,,,,,
108,:Amenities,Bluetooth sound system,,,,,,,,,,,,,
109,:Amenities,Fire pit,,,,,,,,,,,,,
110,:Amenities,Baby safety gates,,,,,,,,,,,,,
111,:Amenities,Baby bath,,,,,,,,,,,,,
112,:Amenities,Window guards,,,,,,,,,,,,,
113,:Amenities,"HDTV with Netflix, premium cable, standard cable",,,,,,,,,,,,,
114,:Amenities,Keurig coffee machine,,,,,,,,,,,,,
115,:Amenities,"Children’s books and toys for ages 0-2 years old, 2-5 years old, 5-10 years old, and 10+ years old",,,,,,,,,,,,,
116,:Amenities,Free dryer – In unit,,,,,,,,,,,,,
117,:Amenities,Safe,,,,,,,,,,,,,
118,:Amenities,"Children’s books and toys for ages 0-2 years old, 2-5 years old, and 5-10 years old",,,,,,,,,,,,,
119,:Amenities,Marie-Stella-Maris conditioner,,,,,,,,,,,,,
120,:Amenities,"Clothing storage: dresser, closet, and wardrobe",,,,,,,,,,,,,
121,:Amenities,Marie-Stella-Maris shampoo,,,,,,,,,,,,,
122,:Amenities,Marie-Stella-Maris body soap,,,,,,,,,,,,,
123,:Amenities,Outlet covers,,,,,,,,,,,,,
124,:Amenities,Free parking on premises,,,,,,,,,,,,,
125,:Amenities,Clothing storage: walk-in closet,,,,,,,,,,,,,
126,:Amenities,Shared patio or balcony,,,,,,,,,,,,,
127,:Amenities,Gas stove,,,,,,,,,,,,,
128,:Amenities,Record player,,,,,,,,,,,,,
129,:Amenities,Changing table,,,,,,,,,,,,,
130,:Amenities,Sound system with aux,,,,,,,,,,,,,
131,:Amenities,Game console,,,,,,,,,,,,,
132,:Amenities,Ceiling fan,,,,,,,,,,,,,
133,:Amenities,Baking sheet,,,,,,,,,,,,,
134,:Amenities,Indoor fireplace,,,,,,,,,,,,,
135,:Amenities,Boat slip,,,,,,,,,,,,,
136,:Amenities,Building staff,,,,,,,,,,,,,
137,:Amenities,Children’s books and toys for ages 5-10 years old and 10+ years old,,,,,,,,,,,,,
138,:Amenities,"Dedicated workspace: office chair, monitor, and desk",,,,,,,,,,,,,
139,:Amenities,Fast wifi – 78 Mbps,,,,,,,,,,,,,
140,:Amenities,Free washer – In unit,,,,,,,,,,,,,
141,:Amenities,HDTV,,,,,,,,,,,,,
142,:Amenities,Liquid body wash body soap,,,,,,,,,,,,,
143,:Amenities,Sonos Bluetooth sound system,,,,,,,,,,,,,
144,:Amenities,Stainless steel oven,,,,,,,,,,,,,
145,:Amenities,Dedicated workspace: office chair and desk,,,,,,,,,,,,,
146,:Amenities,Clothing storage,,,,,,,,,,,,,
147,:Amenities,Paid parking lot off premises,,,,,,,,,,,,,
148,:Amenities,Stainless steel gas stove,,,,,,,,,,,,,
149,:Amenities,Portable air conditioning,,,,,,,,,,,,,
150,:Amenities,LG Bluetooth sound system,,,,,,,,,,,,,
151,:Amenities,Sound system with Bluetooth and aux,,,,,,,,,,,,,
152,:Amenities,Children’s books and toys for ages 2-5 years old and 5-10 years old,,,,,,,,,,,,,
153,:Amenities,Bread maker,,,,,,,,,,,,,
154,:Amenities,Keypad,,,,,,,,,,,,,
155,:Amenities,Baby monitor,,,,,,,,,,,,,
156,:Amenities,Wifi – 21 Mbps,,,,,,,,,,,,,
157,:Amenities,Table corner guards,,,,,,,,,,,,,
158,:Amenities,Gym,,,,,,,,,,,,,
159,:Amenities,Beach essentials,,,,,,,,,,,,,
160,:Amenities,Logitech soudbar sound system with Bluetooth and aux,,,,,,,,,,,,,
161,:Amenities,Trash compactor,,,,,,,,,,,,,
162,:Amenities,Clothing storage: wardrobe and closet,,,,,,,,,,,,,
163,:Amenities,Outdoor shower,,,,,,,,,,,,,
164,:Amenities,generic body soap,,,,,,,,,,,,,
165,:Amenities,Electro Line refrigerator,,,,,,,,,,,,,
166,:Amenities,HDTV with Chromecast,,,,,,,,,,,,,
167,:Amenities,ARGON Bluetooth sound system,,,,,,,,,,,,,
168,:Amenities,Game console: PS2,,,,,,,,,,,,,
169,:Amenities,"Dedicated workspace: monitor, office chair, and desk",,,,,,,,,,,,,
170,:Amenities,Rituals body soap,,,,,,,,,,,,,
171,:Amenities,Rituals conditioner,,,,,,,,,,,,,
172,:Amenities,Shared hot tub,,,,,,,,,,,,,
173,:Amenities,Paid parking garage off premises,,,,,,,,,,,,,
174,:Amenities,Dedicated workspace: office chair and table,,,,,,,,,,,,,
175,:Amenities,- body soap,,,,,,,,,,,,,
176,:Amenities,- conditioner,,,,,,,,,,,,,
177,:Amenities,"32"" HDTV with premium cable",,,,,,,,,,,,,
178,:Amenities,Indesit  refrigerator,,,,,,,,,,,,,
179,:Amenities,Dedicated workspace: desk,,,,,,,,,,,,,
180,:Amenities,Private garden or backyard,,,,,,,,,,,,,
181,:Amenities,Window AC unit,,,,,,,,,,,,,
182,:Amenities,Paid dryer – In unit,,,,,,,,,,,,,
183,:Amenities,ecological soap body soap,,,,,,,,,,,,,
184,:Amenities,Eco shampoo shampoo,,,,,,,,,,,,,
185,:Amenities,andrelon conditioner,,,,,,,,,,,,,
186,:Amenities,"Dedicated workspace: table, office chair, and desk",,,,,,,,,,,,,
187,:Amenities,TV with Netflix,,,,,,,,,,,,,
188,:Amenities,"TV with standard cable, Chromecast, premium cable",,,,,,,,,,,,,
189,:Amenities,"TV with Netflix, premium cable",,,,,,,,,,,,,
190,:Amenities,Andrelon conditioner,,,,,,,,,,,,,
191,:Amenities,Dove body soap,,,,,,,,,,,,,
192,:Amenities,organic soap body soap,,,,,,,,,,,,,
193,:Amenities,organic shampoo shampoo,,,,,,,,,,,,,
194,:Amenities,Free driveway parking on premises – 1 space,,,,,,,,,,,,,
195,:Amenities,Beachfront,,,,,,,,,,,,,
196,:Amenities,Bose sound system with Bluetooth and aux,,,,,,,,,,,,,
197,:Amenities,Miele gas stove,,,,,,,,,,,,,
198,:Amenities,Smeg stainless steel gas stove,,,,,,,,,,,,,
199,:Amenities,tube amplifier sound system with Bluetooth and aux,,,,,,,,,,,,,
200,:Amenities,Smeg stainless steel oven,,,,,,,,,,,,,
201,:Amenities,Shared garden or backyard,,,,,,,,,,,,,
202,:Amenities,Electric stove,,,,,,,,,,,,,
203,:Amenities,whirlpool refrigerator,,,,,,,,,,,,,
204,:Amenities,Washer – In unit,,,,,,,,,,,,,
205,:Amenities,Dryer – In unit,,,,,,,,,,,,,
206,:Amenities,Bluetooth Bluetooth sound system,,,,,,,,,,,,,
207,:Amenities,Dedicated workspace: table and desk,,,,,,,,,,,,,
208,:Amenities,"Clothing storage: wardrobe, closet, and dresser",,,,,,,,,,,,,
209,:Amenities,Paid parking garage on premises – 1 space,,,,,,,,,,,,,
210,:Amenities,Fast wifi – 279 Mbps,,,,,,,,,,,,,
211,:Amenities,inventum stainless steel oven,,,,,,,,,,,,,
212,:Amenities,aeg induction stove,,,,,,,,,,,,,
213,:Amenities,LG refrigerator,,,,,,,,,,,,,
214,:Amenities,SMEG stainless steel oven,,,,,,,,,,,,,
215,:Amenities,SMEG stainless steel gas stove,,,,,,,,,,,,,
216,:Amenities,"TV with standard cable, Apple TV, Netflix, premium cable",,,,,,,,,,,,,
217,:Amenities,Marley Get Together  sound system with Bluetooth and aux,,,,,,,,,,,,,
218,:Amenities,Game console: PS4,,,,,,,,,,,,,
219,:Amenities,Fireplace guards,,,,,,,,,,,,,
220,:Amenities,eco soap body soap,,,,,,,,,,,,,
