lId:ID(Listing),name,:LABEL,url,picture_url,host_identity_verified,accomodates,bedrooms,bathrooms,beds,price,review_scores_rating
242042,2818,Listing; Listing,https://www.airbnb.com/rooms/2818,https://a0.muscache.com/pictures/10272854/8dcca016_original.jpg,t,2.0,1.0,1.5 shared baths,2.0,low,very good
242043,20168,Listing; Listing,https://www.airbnb.com/rooms/20168,https://a0.muscache.com/pictures/69979628/fd6a3a80_original.jpg,t,2.0,1.0,1 private bath,1.0,low,very good
242044,27886,Listing; Listing,https://www.airbnb.com/rooms/27886,https://a0.muscache.com/pictures/02c2da9d-660e-451d-8a51-2f7a17469df7.jpg,t,2.0,1.0,1.5 baths,1.0,low,very good
242045,28871,Listing; Listing,https://www.airbnb.com/rooms/28871,https://a0.muscache.com/pictures/160889/362340f7_original.jpg,t,2.0,1.0,1 shared bath,1.0,low,very good
242046,29051,Listing; Listing,https://www.airbnb.com/rooms/29051,https://a0.muscache.com/pictures/162009/bd6be2f8_original.jpg,t,1.0,1.0,1 shared bath,1.0,low,very good
242047,44391,Listing; Listing,https://www.airbnb.com/rooms/44391,https://a0.muscache.com/pictures/97741545/39000c13_original.jpg,t,4.0,2.0,1.5 baths,2.0,low,very good
242048,47061,Listing; Listing,https://www.airbnb.com/rooms/47061,https://a0.muscache.com/pictures/268343/a08ce201_original.jpg,t,3.0,2.0,1.5 baths,2.0,low,very good
242049,49552,Listing; Listing,https://www.airbnb.com/rooms/49552,https://a0.muscache.com/pictures/a6d6d2ee-3196-4e3b-b0ec-d26b71d598ec.jpg,t,3.0,2.0,1 bath,2.0,low,very good
242050,49790,Listing; Listing,https://www.airbnb.com/rooms/49790,https://a0.muscache.com/pictures/1146105/2c19e898_original.jpg,t,4.0,2.0,1 bath,2.0,low,very good
242051,50523,Listing; Listing,https://www.airbnb.com/rooms/50523,https://a0.muscache.com/pictures/290179/a6be901e_original.jpg,t,2.0,1.0,1 private bath,1.0,low,very good
242052,55621,Listing; Listing,https://www.airbnb.com/rooms/55621,https://a0.muscache.com/pictures/9113693/9c8e2b10_original.jpg,t,4.0,2.0,1 bath,2.0,low,very good
242053,55709,Listing; Listing,https://www.airbnb.com/rooms/55709,https://a0.muscache.com/pictures/14896636/c2667327_original.jpg,t,3.0,1.0,1.5 baths,1.0,low,very good
242054,55868,Listing; Listing,https://www.airbnb.com/rooms/55868,https://a0.muscache.com/pictures/411347/2c516428_original.jpg,t,4.0,2.0,1.5 baths,2.0,low,very good
242055,62015,Listing; Listing,https://www.airbnb.com/rooms/62015,https://a0.muscache.com/pictures/e6cb417b-6d76-46eb-9f08-bbf62468318e.jpg,t,2.0,1.0,1.5 baths,1.0,low,very good
242056,70598,Listing; Listing,https://www.airbnb.com/rooms/70598,https://a0.muscache.com/pictures/f8f98944-4928-4da4-8f0a-39516ab9f5e4.jpg,f,2.0,1.0,1.5 shared baths,1.0,low,very good
242057,75499,Listing; Listing,https://www.airbnb.com/rooms/75499,https://a0.muscache.com/pictures/miso/Hosting-75499/original/ab4a5332-81f1-4f93-919a-102c78c2c7c9.jpeg,f,2.0,1.0,1 bath,2.0,low,very good
