id:ID(State),name,:LABEL
890,"Amsterdam, North Holland, Netherlands",State; State
891,"Amsterdam, Noord-Holland, Netherlands",State; State
892,De Baarsjes - Oud-West,State; State
893,Centrum-West,State; State
894,Slotervaart,State; State
895,De Pijp - Rivierenbuurt,State; State
896,Centrum-Oost,State; State
897,"Amsterdam, NH, Netherlands",State; State
898,Zuid,State; State
899,Oud-Oost,State; State
900,"Amsterdam, Netherlands, Netherlands",State; State
901,"Watergraafsmeer, North Holland, Netherlands",State; State
902,"Jordaan, North Holland, Netherlands",State; State
903,Watergraafsmeer,State; State
904,"Zeeburg, North Holland, Netherlands",State; State
905,Bos en Lommer,State; State
906,Westerpark,State; State
907,Buitenveldert - Zuidas,State; State
908,"Amsterdam, Haarlemmerbuurt, Netherlands",State; State
909,Noord-Oost,State; State
910,"Amsterdam, Netherlands",State; State
911,Oostelijk Havengebied - Indische Buurt,State; State
912,Osdorp,State; State
913,"Amsterdam-Zuidoost, North Holland, Netherlands",State; State
914,Oud-Noord,State; State
915,IJburg - Zeeburgereiland,State; State
916,Geuzenveld - Slotermeer,State; State
917,Noord-West,State; State
918,"Amsterdam, SN, Netherlands",State; State
919,"Amsterdam, Noord Holland, Netherlands",State; State
920,"Amsterdam , Amsterdam, Netherlands",State; State
921,"Amsterdam, Holland, Netherlands",State; State
922,"Amsterdam Zuidoost, North Holland, Netherlands",State; State
923,"Amsterdam, Noord-Holland 6, Netherlands",State; State
924,"Amsterdam Zuid-Oost, Noord-Holland, Netherlands",State; State
925,"Amsterdam, Emmy andriessestraat, Netherlands",State; State
926,"Amsterdam, AH, Netherlands",State; State
927,"Amsterdam, GA, Netherlands",State; State
928,"Amsterdam, GD, Netherlands",State; State
929,"Amsterdam, Amstel, Netherlands",State; State
930,"Amsterdam-Zuidoost, Noord-Holland, Netherlands",State; State
931,"Amsterdam , 2 de Egelantiersdwarsstraat 13 III, Netherlands",State; State
932,De Aker - Nieuw Sloten,State; State
933,"Amsterdam, Noord- Holland, Netherlands",State; State
934,"Amsterdam, VX, Netherlands",State; State
935,Netherlands,State; State
936,"Amsterdam, North-Holland, Netherlands",State; State
937,"Amsterdam, DP, Netherlands",State; State
938,"Amsterdam , Noord-Holland, Netherlands",State; State
939,Bijlmer-Centrum,State; State
940,"Amsterdam, Frederiksstraat, Netherlands",State; State
941,"Amsterdam , North Holland, Netherlands",State; State
942,"Duivendrecht, Noord-Holland, Netherlands",State; State
943,Gaasperdam - Driemond,State; State
944,Bijlmer-Oost,State; State
945,"Diemen, Noord-Holland, Netherlands",State; State
946,"Amsterdam, NM, Netherlands",State; State
947,"Landsmeer, Noord-Holland, Netherlands",State; State
948,"Amsterdam, The Netherlands, Netherlands",State; State
949,"Badhoevedorp, Noord-Holland, Netherlands",State; State
950,"Amsterdam-Centrum, Noord-Holland, Netherlands",State; State
951,"Amsterdam, Nord Holland, Netherlands",State; State
952,"Central Amsterdam, Amsterdam, Netherlands",State; State
953,"*, Amsterdam, Netherlands",State; State
954,"Badhoevedorp, NH, Netherlands",State; State
955,"243h Orteliusstraat Amsterdam, Noord-Holland, Netherlands",State; State
956,"Oostzaan, Noord-Holland, Netherlands",State; State
957,"1054 ZV, Noord-Holland, Netherlands",State; State
958,"Amsterdam, NORTH HOLLAND, Netherlands",State; State
959,"Ouder-Amstel, Noord-Holland, Netherlands",State; State
960,"Lijnden, Noord-Holland, Netherlands",State; State
961,"Amsterdam , Netherlands",State; State
