,amenities,City,State,Country,price,property_type,room_type,accommodates,bathrooms,bedrooms,beds
Refrigerator,0.0,,,,,,,,,,
Paid parking off premises,1.0,,,,,,,,,,
Long term stays allowed,2.0,,,,,,,,,,
Paid washer – In unit,3.0,,,,,,,,,,
Lock on bedroom door,4.0,,,,,,,,,,
Heating,5.0,,,,,,,,,,
Drying rack for clothing,6.0,,,,,,,,,,
Hair dryer,7.0,,,,,,,,,,
Body soap,8.0,,,,,,,,,,
Room-darkening shades,9.0,,,,,,,,,,
Mini fridge,10.0,,,,,,,,,,
Shampoo,11.0,,,,,,,,,,
First aid kit,12.0,,,,,,,,,,
Clothing storage: wardrobe,13.0,,,,,,,,,,
Hot water,14.0,,,,,,,,,,
Laundromat nearby,15.0,,,,,,,,,,
Mosquito net,16.0,,,,,,,,,,
Portable fans,17.0,,,,,,,,,,
Hangers,18.0,,,,,,,,,,
Fire extinguisher,19.0,,,,,,,,,,
Extra pillows and blankets,20.0,,,,,,,,,,
Bed linens,21.0,,,,,,,,,,
Fast wifi – 52 Mbps,22.0,,,,,,,,,,
Coffee maker,23.0,,,,,,,,,,
Carbon monoxide alarm,24.0,,,,,,,,,,
Outdoor furniture,25.0,,,,,,,,,,
Host greets you,26.0,,,,,,,,,,
Shared fenced garden or backyard,27.0,,,,,,,,,,
Shower gel,28.0,,,,,,,,,,
Single level home,29.0,,,,,,,,,,
Smoke alarm,30.0,,,,,,,,,,
Iron,31.0,,,,,,,,,,
Private entrance,32.0,,,,,,,,,,
Essentials,33.0,,,,,,,,,,
Paid parking on premises,34.0,,,,,,,,,,
Cleaning products,35.0,,,,,,,,,,
Hot water kettle,36.0,,,,,,,,,,
Security cameras on property,37.0,,,,,,,,,,
Pour-over coffee,38.0,,,,,,,,,,
Dedicated workspace: table,39.0,,,,,,,,,,
Ethernet connection,40.0,,,,,,,,,,
TV,41.0,,,,,,,,,,
Wifi,42.0,,,,,,,,,,
Free street parking,43.0,,,,,,,,,,
Dedicated workspace,44.0,,,,,,,,,,
Smart lock,45.0,,,,,,,,,,
Dishes and silverware,46.0,,,,,,,,,,
Lake access,47.0,,,,,,,,,,
Outdoor dining area,48.0,,,,,,,,,,
Waterfront,49.0,,,,,,,,,,
Luggage dropoff allowed,50.0,,,,,,,,,,
Private patio or balcony,51.0,,,,,,,,,,
Breakfast,52.0,,,,,,,,,,
Dryer,53.0,,,,,,,,,,
Air conditioning,54.0,,,,,,,,,,
Dishwasher,55.0,,,,,,,,,,
Oven,56.0,,,,,,,,,,
Kitchen,57.0,,,,,,,,,,
Cable TV,58.0,,,,,,,,,,
Cooking basics,59.0,,,,,,,,,,
TV with standard cable,60.0,,,,,,,,,,
Microwave,61.0,,,,,,,,,,
Washer,62.0,,,,,,,,,,
Stove,63.0,,,,,,,,,,
Patio or balcony,64.0,,,,,,,,,,
Sound system,65.0,,,,,,,,,,
Piano,66.0,,,,,,,,,,
Cleaning before checkout,67.0,,,,,,,,,,
Wine glasses,68.0,,,,,,,,,,
Paid street parking off premises,69.0,,,,,,,,,,
Pack ’n play/Travel crib,70.0,,,,,,,,,,
Clothing storage: closet,71.0,,,,,,,,,,
Freezer,72.0,,,,,,,,,,
Conditioner,73.0,,,,,,,,,,
Dining table,74.0,,,,,,,,,,
Toaster,75.0,,,,,,,,,,
Marie Stella Maris shampoo,76.0,,,,,,,,,,
Marie Stella Maris conditioner,77.0,,,,,,,,,,
Clothing storage: closet and wardrobe,78.0,,,,,,,,,,
Bathtub,79.0,,,,,,,,,,
Nespresso machine,80.0,,,,,,,,,,
Board games,81.0,,,,,,,,,,
Bikes,82.0,,,,,,,,,,
Children’s dinnerware,83.0,,,,,,,,,,
High chair,84.0,,,,,,,,,,
Children’s books and toys,85.0,,,,,,,,,,
Central heating,86.0,,,,,,,,,,
Marie Stella Maris body soap,87.0,,,,,,,,,,
Crib,88.0,,,,,,,,,,
TV with Chromecast,89.0,,,,,,,,,,
Babysitter recommendations,90.0,,,,,,,,,,
JBL Bluetooth sound system,91.0,,,,,,,,,,
Fast wifi – 73 Mbps,92.0,,,,,,,,,,
Elevator,93.0,,,,,,,,,,
Clothing storage: dresser,94.0,,,,,,,,,,
EV charger,95.0,,,,,,,,,,
Lockbox,96.0,,,,,,,,,,
Pocket wifi,97.0,,,,,,,,,,
minifridge available on request refrigerator,98.0,,,,,,,,,,
Backyard,99.0,,,,,,,,,,
BBQ grill,100.0,,,,,,,,,,
Central air conditioning,101.0,,,,,,,,,,
Rice maker,102.0,,,,,,,,,,
Private fenced garden or backyard,103.0,,,,,,,,,,
Miele oven,104.0,,,,,,,,,,
Barbecue utensils,105.0,,,,,,,,,,
Hot tub,106.0,,,,,,,,,,
Clothing storage: dresser and closet,107.0,,,,,,,,,,
Bluetooth sound system,108.0,,,,,,,,,,
Fire pit,109.0,,,,,,,,,,
Baby safety gates,110.0,,,,,,,,,,
Baby bath,111.0,,,,,,,,,,
Window guards,112.0,,,,,,,,,,
"HDTV with Netflix, premium cable, standard cable",113.0,,,,,,,,,,
Keurig coffee machine,114.0,,,,,,,,,,
"Children’s books and toys for ages 0-2 years old, 2-5 years old, 5-10 years old, and 10+ years old",115.0,,,,,,,,,,
Free dryer – In unit,116.0,,,,,,,,,,
Safe,117.0,,,,,,,,,,
"Children’s books and toys for ages 0-2 years old, 2-5 years old, and 5-10 years old",118.0,,,,,,,,,,
Marie-Stella-Maris conditioner,119.0,,,,,,,,,,
"Clothing storage: dresser, closet, and wardrobe",120.0,,,,,,,,,,
Marie-Stella-Maris shampoo,121.0,,,,,,,,,,
Marie-Stella-Maris body soap,122.0,,,,,,,,,,
Outlet covers,123.0,,,,,,,,,,
Free parking on premises,124.0,,,,,,,,,,
Clothing storage: walk-in closet,125.0,,,,,,,,,,
Shared patio or balcony,126.0,,,,,,,,,,
Gas stove,127.0,,,,,,,,,,
Record player,128.0,,,,,,,,,,
Changing table,129.0,,,,,,,,,,
Sound system with aux,130.0,,,,,,,,,,
Game console,131.0,,,,,,,,,,
Ceiling fan,132.0,,,,,,,,,,
Baking sheet,133.0,,,,,,,,,,
Indoor fireplace,134.0,,,,,,,,,,
Boat slip,135.0,,,,,,,,,,
Building staff,136.0,,,,,,,,,,
