id,city,name
0,1,DP
1,1,Slotervaart
2,1,Bijlmer-Oost
3,1,Badhoevedorp
4,1,Osdorp
5,1,De Baarsjes - Oud-West
6,1,Frederiksstraat
7,1,Noord-West
8,1,Duivendrecht
9,1,AH
10,1,Emmy andriessestraat
11,1,De Pijp - Rivierenbuurt
12,1,Watergraafsmeer
13,1,Amsterdam-Zuidoost
14,1,GA
15,1,Gaasperdam - Driemond
16,1,Jordaan
17,1,Oud-Noord
18,1,Noord- Holland
19,1,Ouder-Amstel
20,1,Geuzenveld - Slotermeer
21,1,Noord Holland
22,1,Amsterdam-Centrum
23,1,NM
24,1,Buitenveldert - Zuidas
25,1,Zeeburg
26,1,NH
27,1,NORTH HOLLAND
29,1,Oostelijk Havengebied - Indische Buurt
32,1,VX
33,1,Haarlemmerbuurt
34,1,Westerpark
35,1,Holland
36,1,Landsmeer
37,1,GD
38,1,De Aker - Nieuw Sloten
39,1,Bos en Lommer
40,1,Noord-Holland
41,1,North Holland
42,1,Centrum-West
43,1,Oud-Oost
44,1,Amstel
45,1,1054 ZV
46,1,SN
47,1,Zuid
48,1,Noord-Oost
49,1,Oostzaan
50,1,2 de Egelantiersdwarsstraat 13 III
51,1,IJburg - Zeeburgereiland
52,1,Nord Holland
55,1,North-Holland
57,1,Lijnden
59,1,Diemen
60,1,Bijlmer-Centrum
61,1,Central Amsterdam
62,1,243h Orteliusstraat Amsterdam
63,1,Centrum-Oost
64,1,Amsterdam Zuid-Oost
65,1,Amsterdam Zuidoost
66,1,Noord-Holland 6
